Translation Label	English Text	
// Generic dialog options		
		
DIALOG.OK	OK	
DIALOG.CANCEL	Batal	
		
// Grid titlebar		
		
GRAPH.TITLEBAR.SHOW_HIDE	Tampilkan/Sembunyikan Grafik	
GRAPH.TITLEBAR.SHOW_HIDE_CONTROLS	Tampilkan/Sembunyikan Kontrol Grafik	
GRAPH.TITLEBAR.EXPORT_IMAGE	Ekspor grafik sebagai file gambar
		
GRID.TITLEBAR.CANCEL	Batal	
GRID.TITLEBAR.LOADING	Memuat...	
GRID.TITLEBAR.WORKING	Sedang bekerja...	
GRID.TITLEBAR.LOADED	Terisi	
GRID.TITLEBAR.NOT_LOADED	Tidak Terisi	
GRID.TITLEBAR.RECORD_COUNT_SINGULAR	%d catatan	
GRID.TITLEBAR.RECORD_COUNT_PLURAL	%d catatan	
GRID.TITLEBAR.GROUP_COUNT_SINGULAR	%d grup	
GRID.TITLEBAR.GROUP_COUNT_PLURAL	%d grup	
GRID.TITLEBAR.SELECTED_COUNT_SINGULAR	%d catatan dipilih	
GRID.TITLEBAR.SELECTED_COUNT_PLURAL	%d catatan dipilih	
GRID.TITLEBAR.CLEAR_FILTER	hapus filter	
GRID.TITLEBAR.DATA_LIMITED_WARNING	Untuk menghemat waktu, tidak semua catatan diambil. Akibatnya, beberapa fungsi berkurang. Klik untuk mengambil semua data (ini mungkin memerlukan waktu).	
		
GRID.TITLEBAR.GENERATE_CSV	Buat CSV	
GRID.TITLEBAR.DOWNLOAD_CSV	Unduh CSV	
GRID.TITLEBAR.REFRESH	Muat Ulang	
GRID.TITLEBAR.SHOW_HIDE	Tampilkan/Sembunyikan Grid	
GRID.TITLEBAR.SHOW_HIDE_CONTROLS	Tampilkan/Sembunyikan Kontrol Grid	
GRID.TITLEBAR.SHOW_DEBUG_INFO	Tampilkan Info Debug Grid	
		
// Grid toolbar		
		
GRID_TOOLBAR.PLAIN.SHOW_MORE_ON_SCROLL	Tampilkan Lebih Banyak saat Menggulir	
GRID_TOOLBAR.PLAIN.SHOW_ALL_ROWS	Tampilkan Semua Baris	
GRID_TOOLBAR.PLAIN.COLUMNS	Kolom	
GRID_TOOLBAR.PLAIN.TEMPLATES_EDITOR	Editor Template	
		
GRID_TOOLBAR.GROUP.MODE.SUMMARY	Ringkasan	
GRID_TOOLBAR.GROUP.MODE.DETAIL	Rinci	
GRID_TOOLBAR.GROUP.TOTAL_ROW	Baris Total	
GRID_TOOLBAR.GROUP.PIN_GROUPS	Sematkan Grup	
GRID_TOOLBAR.GROUP.EXPAND_ALL	Perluas Semua Grup	
		
GRID_TOOLBAR.PIVOT.TOTAL_ROW_COLUMN	Baris/Kolom Total	
GRID_TOOLBAR.PIVOT.HIDE_ZERO_VALUES	Sembunyikan Nilai Nol	
		
GRID_TOOLBAR.PREFS.RESET.CONFIRM	Apakah Anda yakin ingin mengatur ulang semua konfigurasi, menghapus semua perspektif, dan memulai ulang?	
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE	Perspektif Baru...	
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE.PROMPT	Masukkan nama perspektif baru	
GRID_TOOLBAR.PREFS.DELETE_PERSPECTIVE.CONFIRM	Apakah Anda yakin ingin menghapus perspektif ini?	
GRID_TOOLBAR.PREFS.RENAME_PERSPECTIVE.PROMPT	Ganti nama perspektif "%s" menjadi apa?	
		
GRID_TOOLBAR.PREFS.BACKEND_DOES_NOT_SAVE	Sistem preferensi tidak dikonfigurasi untuk menyimpan perspektif secara permanen.	
GRID_TOOLBAR.PREFS.SAVE.HELP	Klik untuk menyimpan konfigurasi saat ini. Saat grid ini dikunjungi lagi, konfigurasi yang telah disimpan sebelumnya akan digunakan secara otomatis.	
GRID_TOOLBAR.PREFS.SAVE_AS.HELP	Perspektif yang telah ditentukan ini tidak dapat disimpan dengan nama ini. Klik untuk menyimpan dengan nama baru. Setelah itu, perubahan apa pun akan disimpan dengan nama baru.	
GRID_TOOLBAR.PREFS.RESET.TOOLTIP	Atur Ulang	
GRID_TOOLBAR.PREFS.BACK.TOOLTIP	Kembali	
GRID_TOOLBAR.PREFS.FORWARD.TOOLTIP	Maju	
GRID_TOOLBAR.PREFS.RENAME.TOOLTIP	Ganti Nama	
GRID_TOOLBAR.PREFS.DELETE.TOOLTIP	Hapus	
GRID_TOOLBAR.PREFS.INFO.TOOLTIP	Info	
GRID_TOOLBAR.PREFS.SAVE.TOOLTIP	Simpan	
GRID_TOOLBAR.PREFS.SAVE_AS.TOOLTIP	Simpan Sebagai...	
		
GRID_TOOLBAR.RENDERER.DISPLAY_OPTIONS	Opsi Tampilan	
		
GRID_TOOLBAR.MIRAGE.STORE_DISPLAYED_DATA	Simpan Data yang Ditampilkan	
		
// Perspective window		
		
GRID.PERSPECTIVE_WIN.TITLE	Perspektif	
GRID.PERSPECTIVE_WIN.TEMP_PERSPECTIVE_WARNING	Perspektif ini bersifat sementara; konfigurasi di bawah ini tidak mencerminkan status saat ini dari modul preferensi yang terikat.	
		
// Column configuration		
		
GRID.COLCONFIG_WIN.TITLE	Kolom	
GRID.COLCONFIG_WIN.TBL.FIELD	Bidang	
GRID.COLCONFIG_WIN.TBL.DISPLAY	Tampilan	
GRID.COLCONFIG_WIN.TBL.OPTIONS	Opsi	
GRID.COLCONFIG_WIN.REORDER_COLS	Klik dan seret untuk mengurutkan ulang kolom	
GRID.COLCONFIG_WIN.RENAME_COL	Ganti nama kolom di tabel.	
GRID.COLCONFIG_WIN.RENAME_COL.PROMPT	Ganti nama bidang "%s" menjadi apa?	
GRID.COLCONFIG_WIN.PIN_COL	Sematkan kolom ke sisi kiri tabel?	
GRID.COLCONFIG_WIN.HIDE_COL	Sembunyikan kolom?	
GRID.COLCONFIG_WIN.ALLOW_HTML	Izinkan HTML dirender?	
GRID.COLCONFIG_WIN.ALLOW_FORMATTING	Izinkan pemformatan DataVis tertanam?	
GRID.COLCONFIG_WIN.MOVE_COL_TO_TOP	Pindahkan ke atas daftar kolom	
GRID.COLCONFIG_WIN.MOVE_COL_TO_BOTTOM	Pindahkan ke bawah daftar kolom	
GRID.COLCONFIG_WIN.PINNED_COL_WARNING	Kolom yang disematkan selalu muncul sebelum kolom lain dalam output biasa (tanpa grup), sesuai urutan relatif di atas.	
GRID.COLCONFIG_WIN.RESET_COL_ORDER	Atur Ulang Urutan Kolom	
		
// Grid controls		
		
GRID_CONTROL.FIELD	Bidang	
GRID_CONTROL.SELECT_FIELD	Pilih Bidang	
GRID_CONTROL.SELECT_AGGREGATE	Pilih Agregat	
GRID_CONTROL.FILTER.TITLE	Filter	
GRID_CONTROL.GROUP.TITLE	Grup Bidang	
GRID_CONTROL.PIVOT.TITLE	Pivot Bidang	
