Translation Label	English Text
// Generic dialog options	
	
DIALOG.OK	OK
DIALOG.CANCEL	Annuleren
	
// Grid titlebar	
	
GRAPH.TITLEBAR.SHOW_HIDE	Grafiek tonen/verbergen
GRAPH.TITLEBAR.SHOW_HIDE_CONTROLS	Grafiekbediening tonen/verbergen
	
GRID.TITLEBAR.CANCEL	Annuleren
GRID.TITLEBAR.LOADING	Laden...
GRID.TITLEBAR.WORKING	Bezig...
GRID.TITLEBAR.LOADED	Geladen
GRID.TITLEBAR.NOT_LOADED	Niet geladen
GRID.TITLEBAR.RECORD_COUNT_SINGULAR	%d record
GRID.TITLEBAR.RECORD_COUNT_PLURAL	%d records
GRID.TITLEBAR.GROUP_COUNT_SINGULAR	%d groep
GRID.TITLEBAR.GROUP_COUNT_PLURAL	%d groepen
GRID.TITLEBAR.SELECTED_COUNT_SINGULAR	%d record geselecteerd
GRID.TITLEBAR.SELECTED_COUNT_PLURAL	%d records geselecteerd
GRID.TITLEBAR.CLEAR_FILTER	filter wissen
GRID.TITLEBAR.DATA_LIMITED_WARNING	Om tijd te besparen zijn niet alle records opgehaald. Hierdoor is sommige functionaliteit beperkt. Klik om alle gegevens op te halen (dit kan enige tijd duren).
	
GRID.TITLEBAR.GENERATE_CSV	CSV genereren
GRID.TITLEBAR.DOWNLOAD_CSV	CSV downloaden
GRID.TITLEBAR.REFRESH	Vernieuwen
GRID.TITLEBAR.SHOW_HIDE	Raster tonen/verbergen
GRID.TITLEBAR.SHOW_HIDE_CONTROLS	Rasterbediening tonen/verbergen
GRID.TITLEBAR.SHOW_DEBUG_INFO	Raster debug-informatie tonen
	
// Grid toolbar	
	
GRID_TOOLBAR.PLAIN.SHOW_MORE_ON_SCROLL	Meer tonen bij scrollen
GRID_TOOLBAR.PLAIN.SHOW_ALL_ROWS	Alle rijen tonen
GRID_TOOLBAR.PLAIN.COLUMNS	Kolommen
GRID_TOOLBAR.PLAIN.TEMPLATES_EDITOR	Sjabloonbewerker
	
GRID_TOOLBAR.GROUP.MODE.SUMMARY	Samenvatting
GRID_TOOLBAR.GROUP.MODE.DETAIL	Detail
GRID_TOOLBAR.GROUP.TOTAL_ROW	Totaalrij
GRID_TOOLBAR.GROUP.PIN_GROUPS	Groepen vastzetten
GRID_TOOLBAR.GROUP.EXPAND_ALL	Alle groepen uitvouwen
	
GRID_TOOLBAR.PIVOT.TOTAL_ROW_COLUMN	Totaalrij/-kolom
GRID_TOOLBAR.PIVOT.HIDE_ZERO_VALUES	Nulwaarden verbergen
	
GRID_TOOLBAR.PREFS.RESET.CONFIRM	Weet u zeker dat u alle configuratie wilt resetten, alle perspectieven wilt verwijderen en opnieuw wilt beginnen?
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE	Nieuw perspectief...
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE.PROMPT	Voer een nieuwe perspectiefnaam in
GRID_TOOLBAR.PREFS.DELETE_PERSPECTIVE.CONFIRM	Weet u zeker dat u dit perspectief wilt verwijderen?
GRID_TOOLBAR.PREFS.RENAME_PERSPECTIVE.PROMPT	Perspectief "%s" hernoemen naar?
	
GRID_TOOLBAR.PREFS.BACKEND_DOES_NOT_SAVE	Het voorkeurensysteem is niet geconfigureerd om perspectieven permanent op te slaan.
GRID_TOOLBAR.PREFS.SAVE.HELP	Klik om de huidige configuratie op te slaan. De volgende keer dat dit raster wordt bezocht, wordt automatisch de eerder opgeslagen configuratie gebruikt.
GRID_TOOLBAR.PREFS.SAVE_AS.HELP	Dit vooraf gedefinieerde perspectief kan niet met deze naam worden opgeslagen. Klik om op te slaan met een nieuwe naam. Daarna worden wijzigingen onder de nieuwe naam opgeslagen.
GRID_TOOLBAR.PREFS.RESET.TOOLTIP	Resetten
GRID_TOOLBAR.PREFS.BACK.TOOLTIP	Terug
GRID_TOOLBAR.PREFS.FORWARD.TOOLTIP	Vooruit
GRID_TOOLBAR.PREFS.RENAME.TOOLTIP	Hernoemen
GRID_TOOLBAR.PREFS.DELETE.TOOLTIP	Verwijderen
GRID_TOOLBAR.PREFS.INFO.TOOLTIP	Informatie
GRID_TOOLBAR.PREFS.SAVE.TOOLTIP	Opslaan
GRID_TOOLBAR.PREFS.SAVE_AS.TOOLTIP	Opslaan als...
	
GRID_TOOLBAR.RENDERER.DISPLAY_OPTIONS	Weergaveopties
	
GRID_TOOLBAR.MIRAGE.STORE_DISPLAYED_DATA	Weergegeven gegevens opslaan
	
// Perspective window	
	
GRID.PERSPECTIVE_WIN.TITLE	Perspectief
GRID.PERSPECTIVE_WIN.TEMP_PERSPECTIVE_WARNING	Dit perspectief is tijdelijk; de onderstaande configuratie weerspiegelt niet de huidige status van gekoppelde voorkeurmodules.
	
// Column configuration	
	
GRID.COLCONFIG_WIN.TITLE	Kolommen
GRID.COLCONFIG_WIN.TBL.FIELD	Veld
GRID.COLCONFIG_WIN.TBL.DISPLAY	Weergave
GRID.COLCONFIG_WIN.TBL.OPTIONS	Opties
GRID.COLCONFIG_WIN.REORDER_COLS	Klik en sleep om kolommen te herschikken
GRID.COLCONFIG_WIN.RENAME_COL	Kolom in tabel hernoemen.
GRID.COLCONFIG_WIN.RENAME_COL.PROMPT	Veld "%s" hernoemen naar?
GRID.COLCONFIG_WIN.PIN_COL	Kolom aan de linkerkant van de tabel vastzetten?
GRID.COLCONFIG_WIN.HIDE_COL	Kolom verbergen?
GRID.COLCONFIG_WIN.ALLOW_HTML	HTML-weergave toestaan?
GRID.COLCONFIG_WIN.ALLOW_FORMATTING	Ingebedde DataVis-opmaak toestaan?
GRID.COLCONFIG_WIN.MOVE_COL_TO_TOP	Naar bovenaan kolomlijst verplaatsen
GRID.COLCONFIG_WIN.MOVE_COL_TO_BOTTOM	Naar onderaan kolomlijst verplaatsen
GRID.COLCONFIG_WIN.PINNED_COL_WARNING	Vastgezette kolommen verschijnen altijd vóór andere in platte (niet gegroepeerde) uitvoer, in de hierboven getoonde volgorde.
GRID.COLCONFIG_WIN.RESET_COL_ORDER	Kolomvolgorde resetten
	
// Grid controls	
	
GRID_CONTROL.FIELD	Veld
GRID_CONTROL.SELECT_FIELD	Veld selecteren
