Translation Label	Translated Text	
// Generic dialog options		
		
DIALOG.OK	OK	
DIALOG.CANCEL	Cancelar	
		
// Grid titlebar		
		
GRAPH.TITLEBAR.SHOW_HIDE	Mostrar/Ocultar Gráfico	
GRAPH.TITLEBAR.SHOW_HIDE_CONTROLS	Mostrar/Ocultar Controles do Gráfico	
GRAPH.TITLEBAR.EXPORT_IMAGE	Exportar gráfico como arquivo de imagem
		
GRID.TITLEBAR.CANCEL	Cancelar	
GRID.TITLEBAR.LOADING	Carregando...	
GRID.TITLEBAR.WORKING	Trabalhando...	
GRID.TITLEBAR.LOADED	Carregado	
GRID.TITLEBAR.NOT_LOADED	Não Carregado	
GRID.TITLEBAR.RECORD_COUNT_SINGULAR	%d registro	
GRID.TITLEBAR.RECORD_COUNT_PLURAL	%d registros	
GRID.TITLEBAR.GROUP_COUNT_SINGULAR	%d grupo	
GRID.TITLEBAR.GROUP_COUNT_PLURAL	%d grupos	
GRID.TITLEBAR.SELECTED_COUNT_SINGULAR	%d registro selecionado	
GRID.TITLEBAR.SELECTED_COUNT_PLURAL	%d registros selecionados	
GRID.TITLEBAR.CLEAR_FILTER	limpar filtro	
GRID.TITLEBAR.DATA_LIMITED_WARNING	Para economizar tempo, nem todos os registros foram recuperados. Como resultado, algumas funcionalidades estão reduzidas. Clique para buscar todos os dados (isso pode levar algum tempo).	
		
GRID.TITLEBAR.GENERATE_CSV	Gerar CSV	
GRID.TITLEBAR.DOWNLOAD_CSV	Baixar CSV	
GRID.TITLEBAR.REFRESH	Atualizar	
GRID.TITLEBAR.SHOW_HIDE	Mostrar/Ocultar Grade	
GRID.TITLEBAR.SHOW_HIDE_CONTROLS	Mostrar/Ocultar Controles da Grade	
GRID.TITLEBAR.SHOW_DEBUG_INFO	Mostrar Informações de Depuração da Grade	
		
// Grid toolbar		
		
GRID_TOOLBAR.PLAIN.SHOW_MORE_ON_SCROLL	Mostrar Mais ao Rolar	
GRID_TOOLBAR.PLAIN.SHOW_ALL_ROWS	Mostrar Todas as Linhas	
GRID_TOOLBAR.PLAIN.COLUMNS	Colunas	
GRID_TOOLBAR.PLAIN.TEMPLATES_EDITOR	Editor de Modelos	
		
GRID_TOOLBAR.GROUP.MODE.SUMMARY	Resumo	
GRID_TOOLBAR.GROUP.MODE.DETAIL	Detalhe	
GRID_TOOLBAR.GROUP.TOTAL_ROW	Linha Total	
GRID_TOOLBAR.GROUP.PIN_GROUPS	Fixar Grupos	
GRID_TOOLBAR.GROUP.EXPAND_ALL	Expandir todos os grupos	
		
GRID_TOOLBAR.PIVOT.TOTAL_ROW_COLUMN	Linha/Coluna Total	
GRID_TOOLBAR.PIVOT.HIDE_ZERO_VALUES	Ocultar Valores Zero	
		
GRID_TOOLBAR.PREFS.RESET.CONFIRM	Você tem certeza de que deseja redefinir toda a configuração, excluir todas as perspectivas e começar de novo?	
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE	Nova Perspectiva...	
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE.PROMPT	Digite o nome da nova perspectiva	
GRID_TOOLBAR.PREFS.DELETE_PERSPECTIVE.CONFIRM	Você tem certeza de que deseja excluir esta perspectiva?	
GRID_TOOLBAR.PREFS.RENAME_PERSPECTIVE.PROMPT	Renomear perspectiva "%s" para qual nome?	
		
GRID_TOOLBAR.PREFS.BACKEND_DOES_NOT_SAVE	O sistema de preferências não está configurado para salvar perspectivas permanentemente.	
GRID_TOOLBAR.PREFS.SAVE.HELP	Clique para salvar a configuração atual. Na próxima vez que esta grade for visitada, a configuração previamente salva será usada automaticamente.	
GRID_TOOLBAR.PREFS.SAVE_AS.HELP	Esta perspectiva predefinida não pode ser salva com este nome. Clique para salvar com um novo nome. Depois disso, quaisquer alterações serão salvas sob o novo nome.	
GRID_TOOLBAR.PREFS.RESET.TOOLTIP	Redefinir	
GRID_TOOLBAR.PREFS.BACK.TOOLTIP	Voltar	
GRID_TOOLBAR.PREFS.FORWARD.TOOLTIP	Avançar	
GRID_TOOLBAR.PREFS.RENAME.TOOLTIP	Renomear	
GRID_TOOLBAR.PREFS.DELETE.TOOLTIP	Excluir	
GRID_TOOLBAR.PREFS.INFO.TOOLTIP	Informações	
GRID_TOOLBAR.PREFS.SAVE.TOOLTIP	Salvar	
GRID_TOOLBAR.PREFS.SAVE_AS.TOOLTIP	Salvar Como...	
		
GRID_TOOLBAR.RENDERER.DISPLAY_OPTIONS	Opções de Exibição	
		
GRID_TOOLBAR.MIRAGE.STORE_DISPLAYED_DATA	Armazenar Dados Exibidos	
		
// Perspective window		
		
GRID.PERSPECTIVE_WIN.TITLE	Perspectiva	
