Translation Label	English Text	
// Generic dialog options		
		
DIALOG.OK	ОК	
DIALOG.CANCEL	Отмена	
		
// Grid titlebar		
		
GRAPH.TITLEBAR.SHOW_HIDE	Показать/Скрыть график	
GRAPH.TITLEBAR.SHOW_HIDE_CONTROLS	Показать/Скрыть элементы управления графиком	
GRAPH.TITLEBAR.EXPORT_IMAGE	Экспортировать график как файл изображения	
		
GRID.TITLEBAR.CANCEL	Отмена	
GRID.TITLEBAR.LOADING	Загрузка...	
GRID.TITLEBAR.WORKING	Выполняется...	
GRID.TITLEBAR.LOADED	Загружено	
GRID.TITLEBAR.NOT_LOADED	Не загружено	
GRID.TITLEBAR.RECORD_COUNT_SINGULAR	%d запись	
GRID.TITLEBAR.RECORD_COUNT_PLURAL	%d записей	
GRID.TITLEBAR.GROUP_COUNT_SINGULAR	%d группа	
GRID.TITLEBAR.GROUP_COUNT_PLURAL	%d групп	
GRID.TITLEBAR.SELECTED_COUNT_SINGULAR	%d запись выбрана	
GRID.TITLEBAR.SELECTED_COUNT_PLURAL	%d записей выбрано	
GRID.TITLEBAR.CLEAR_FILTER	очистить фильтр	
GRID.TITLEBAR.DATA_LIMITED_WARNING	Для экономии времени были получены не все записи. В результате часть функциональности ограничена. Нажмите, чтобы получить все данные (это может занять некоторое время).	
		
GRID.TITLEBAR.GENERATE_CSV	Создать CSV	
GRID.TITLEBAR.DOWNLOAD_CSV	Скачать CSV	
GRID.TITLEBAR.REFRESH	Обновить	
GRID.TITLEBAR.SHOW_HIDE	Показать/Скрыть таблицу	
GRID.TITLEBAR.SHOW_HIDE_CONTROLS	Показать/Скрыть элементы управления таблицей	
GRID.TITLEBAR.SHOW_DEBUG_INFO	Показать отладочную информацию таблицы	
		
// Grid omnifilter		
		
GRID.OMNIFILTER.PLACEHOLDER	Введите для фильтрации строк...	
GRID.OMNIFILTER.ARIA_LABEL	Фильтровать все строки по тексту	
GRID.OMNIFILTER.CLEAR	Очистить фильтр	
GRID.OMNIFILTER.TOGGLE	Переключить фильтр поиска	
		
// Pagination		
		
GRID.PAGINATION.ARIA_LABEL	Навигация по страницам	
GRID.PAGINATION.GO_TO_PAGE	Перейти на страницу %s	
		
// Grid toolbar		
		
GRID_TOOLBAR.PLAIN.SHOW_MORE_ON_SCROLL	Показать больше при прокрутке	
GRID_TOOLBAR.PLAIN.SHOW_ALL_ROWS	Показать все строки	
GRID_TOOLBAR.PLAIN.COLUMNS	Столбцы	
GRID_TOOLBAR.PLAIN.TEMPLATES_EDITOR	Редактор шаблонов	
GRID_TOOLBAR.PLAIN.ROW_MODE	Режим строки
GRID_TOOLBAR.PLAIN.ROW_MODE.WRAPPED	С переносом	
GRID_TOOLBAR.PLAIN.ROW_MODE.CLIPPED	Обрезанный	
GRID_TOOLBAR.PLAIN.AUTO_RESIZE_COLUMNS	Автоподбор ширины столбцов
		
GRID_TOOLBAR.GROUP.MODE.SUMMARY	Сводка	
GRID_TOOLBAR.GROUP.MODE.DETAIL	Детально	
GRID_TOOLBAR.GROUP.TOTAL_ROW	Итоговая строка	
GRID_TOOLBAR.GROUP.PIN_GROUPS	Закрепить группы	
GRID_TOOLBAR.GROUP.EXPAND_ALL	Развернуть все группы	
		
GRID_TOOLBAR.PIVOT.TOTAL_ROW_COLUMN	Итоговая строка/столбец	
GRID_TOOLBAR.PIVOT.HIDE_ZERO_VALUES	Скрыть нулевые значения	
		
GRID_TOOLBAR.PREFS.RESET.CONFIRM	Вы уверены, что хотите сбросить все настройки, удалить все перспективы и начать заново?	
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE	Новая перспектива...	
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE.PROMPT	Введите имя новой перспективы	
GRID_TOOLBAR.PREFS.DELETE_PERSPECTIVE.CONFIRM	Вы уверены, что хотите удалить эту перспективу?	
GRID_TOOLBAR.PREFS.RENAME_PERSPECTIVE.PROMPT	Переименовать перспективу «%s» во что?	
		
GRID_TOOLBAR.PREFS.BACKEND_DOES_NOT_SAVE	Система настроек не сконфигурирована для постоянного сохранения перспектив.	
GRID_TOOLBAR.PREFS.SAVE.HELP	Нажмите, чтобы сохранить текущую конфигурацию. При следующем посещении этой таблицы будет автоматически использована ранее сохранённая конфигурация.	
GRID_TOOLBAR.PREFS.SAVE_AS.HELP	Эту предопределённую перспективу нельзя сохранить под этим именем. Нажмите, чтобы сохранить под новым именем. После этого все изменения будут сохраняться под новым именем.	
GRID_TOOLBAR.PREFS.RESET.TOOLTIP	Сбросить	
GRID_TOOLBAR.PREFS.BACK.TOOLTIP	Назад	
GRID_TOOLBAR.PREFS.FORWARD.TOOLTIP	Вперёд	
GRID_TOOLBAR.PREFS.RENAME.TOOLTIP	Переименовать	
GRID_TOOLBAR.PREFS.DELETE.TOOLTIP	Удалить	
GRID_TOOLBAR.PREFS.INFO.TOOLTIP	Инфо	
GRID_TOOLBAR.PREFS.SAVE.TOOLTIP	Сохранить	
GRID_TOOLBAR.PREFS.SAVE_AS.TOOLTIP	Сохранить как...	
		
GRID_TOOLBAR.RENDERER.DISPLAY_OPTIONS	Параметры отображения	
		
GRID_TOOLBAR.MIRAGE.STORE_DISPLAYED_DATA	Сохранить отображаемые данные	
		
// Perspective window		
		
GRID.PERSPECTIVE_WIN.TITLE	Перспектива	
GRID.PERSPECTIVE_WIN.TEMP_PERSPECTIVE_WARNING	Эта перспектива временная; конфигурация ниже не отражает текущее состояние связанных модулей настроек.	
		
// Column configuration		
		
GRID.COLCONFIG_WIN.TITLE	Столбцы	
GRID.COLCONFIG_WIN.TBL.FIELD	Поле	
GRID.COLCONFIG_WIN.TBL.DISPLAY	Отображение	
GRID.COLCONFIG_WIN.TBL.OPTIONS	Параметры	
GRID.COLCONFIG_WIN.REORDER_COLS	Нажмите и перетащите для изменения порядка столбцов	
GRID.COLCONFIG_WIN.RENAME_COL	Переименовать столбец в таблице.	
GRID.COLCONFIG_WIN.RENAME_COL.PROMPT	Переименовать поле «%s» во что?	
GRID.COLCONFIG_WIN.PIN_COL	Закрепить столбец слева в таблице?	
GRID.COLCONFIG_WIN.HIDE_COL	Скрыть столбец?	
GRID.COLCONFIG_WIN.ALLOW_HTML	Разрешить отображение HTML?	
GRID.COLCONFIG_WIN.ALLOW_FORMATTING	Разрешить встроенное форматирование DataVis?	
GRID.COLCONFIG_WIN.MOVE_COL_TO_TOP	Переместить в начало списка столбцов	
GRID.COLCONFIG_WIN.MOVE_COL_TO_BOTTOM	Переместить в конец списка столбцов	
GRID.COLCONFIG_WIN.PINNED_COL_WARNING	Закреплённые столбцы всегда отображаются перед остальными в обычном (не сгруппированном) выводе, в относительном порядке, показанном выше.	
