Translation Label	English Text	
// Generic dialog options		
		
DIALOG.OK	OK	
DIALOG.CANCEL	Hủy	
		
// Grid titlebar		
		
GRAPH.TITLEBAR.SHOW_HIDE	Hiện/Ẩn Biểu Đồ	
GRAPH.TITLEBAR.SHOW_HIDE_CONTROLS	Hiện/Ẩn Điều Khiển Biểu Đồ	
		
GRID.TITLEBAR.CANCEL	Hủy	
GRID.TITLEBAR.LOADING	Đang tải...	
GRID.TITLEBAR.WORKING	Đang xử lý...	
GRID.TITLEBAR.LOADED	Đã tải	
GRID.TITLEBAR.NOT_LOADED	Chưa tải	
GRID.TITLEBAR.RECORD_COUNT_SINGULAR	%d bản ghi	
GRID.TITLEBAR.RECORD_COUNT_PLURAL	%d bản ghi	
GRID.TITLEBAR.GROUP_COUNT_SINGULAR	%d nhóm	
GRID.TITLEBAR.GROUP_COUNT_PLURAL	%d nhóm	
GRID.TITLEBAR.SELECTED_COUNT_SINGULAR	Đã chọn %d bản ghi	
GRID.TITLEBAR.SELECTED_COUNT_PLURAL	Đã chọn %d bản ghi	
GRID.TITLEBAR.CLEAR_FILTER	xóa bộ lọc	
GRID.TITLEBAR.DATA_LIMITED_WARNING	Để tiết kiệm thời gian, không phải tất cả bản ghi đều được truy xuất. Do đó, một số chức năng bị giảm. Nhấn để lấy toàn bộ dữ liệu (có thể mất thời gian).	
		
GRID.TITLEBAR.GENERATE_CSV	Tạo CSV	
GRID.TITLEBAR.DOWNLOAD_CSV	Tải CSV	
GRID.TITLEBAR.REFRESH	Làm mới	
GRID.TITLEBAR.SHOW_HIDE	Hiện/Ẩn Lưới	
GRID.TITLEBAR.SHOW_HIDE_CONTROLS	Hiện/Ẩn Điều Khiển Lưới	
GRID.TITLEBAR.SHOW_DEBUG_INFO	Hiện Thông Tin Gỡ Lỗi Lưới	
		
// Grid omnifilter		
		
GRID.OMNIFILTER.PLACEHOLDER	Nhập để lọc hàng...	
GRID.OMNIFILTER.ARIA_LABEL	Lọc tất cả hàng theo văn bản	
GRID.OMNIFILTER.CLEAR	Xóa bộ lọc	
GRID.OMNIFILTER.TOGGLE	Bật/tắt bộ lọc tìm kiếm	
		
// Pagination		
		
GRID.PAGINATION.ARIA_LABEL	Điều hướng trang	
GRID.PAGINATION.GO_TO_PAGE	Đi đến trang %s	
		
// Grid toolbar		
		
GRID_TOOLBAR.PLAIN.SHOW_MORE_ON_SCROLL	Hiển thị thêm khi cuộn	
GRID_TOOLBAR.PLAIN.SHOW_ALL_ROWS	Hiển thị tất cả hàng	
GRID_TOOLBAR.PLAIN.COLUMNS	Cột	
GRID_TOOLBAR.PLAIN.TEMPLATES_EDITOR	Trình chỉnh sửa mẫu	
GRID_TOOLBAR.PLAIN.ROW_MODE	Chế độ hàng
GRID_TOOLBAR.PLAIN.ROW_MODE.WRAPPED	Xuống dòng	
GRID_TOOLBAR.PLAIN.ROW_MODE.CLIPPED	Cắt bớt	
GRID_TOOLBAR.PLAIN.AUTO_RESIZE_COLUMNS	Tự động điều chỉnh kích thước cột
		
GRID_TOOLBAR.GROUP.MODE.SUMMARY	Tóm tắt	
GRID_TOOLBAR.GROUP.MODE.DETAIL	Chi tiết	
GRID_TOOLBAR.GROUP.TOTAL_ROW	Hàng Tổng	
GRID_TOOLBAR.GROUP.PIN_GROUPS	Ghim Nhóm	
GRID_TOOLBAR.GROUP.EXPAND_ALL	Mở rộng tất cả các nhóm	
		
GRID_TOOLBAR.PIVOT.TOTAL_ROW_COLUMN	Hàng/Cột Tổng	
GRID_TOOLBAR.PIVOT.HIDE_ZERO_VALUES	Ẩn giá trị bằng 0	
		
GRID_TOOLBAR.PREFS.RESET.CONFIRM	Bạn có chắc muốn đặt lại toàn bộ cấu hình, xóa tất cả góc nhìn và bắt đầu lại không?	
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE	Góc nhìn mới...	
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE.PROMPT	Nhập tên góc nhìn mới	
GRID_TOOLBAR.PREFS.DELETE_PERSPECTIVE.CONFIRM	Bạn có chắc muốn xóa góc nhìn này không?	
GRID_TOOLBAR.PREFS.RENAME_PERSPECTIVE.PROMPT	Đổi tên góc nhìn "%s" thành gì?	
		
GRID_TOOLBAR.PREFS.BACKEND_DOES_NOT_SAVE	Hệ thống tùy chọn chưa được cấu hình để lưu góc nhìn vĩnh viễn.	
GRID_TOOLBAR.PREFS.SAVE.HELP	Nhấn để lưu cấu hình hiện tại. Lần sau khi truy cập lưới này, cấu hình đã lưu trước đó sẽ được sử dụng tự động.	
GRID_TOOLBAR.PREFS.SAVE_AS.HELP	Góc nhìn được định nghĩa sẵn này không thể lưu với tên này. Nhấn để lưu với tên mới. Sau đó, mọi thay đổi sẽ được lưu dưới tên mới.	
GRID_TOOLBAR.PREFS.RESET.TOOLTIP	Đặt lại	
GRID_TOOLBAR.PREFS.BACK.TOOLTIP	Quay lại	
GRID_TOOLBAR.PREFS.FORWARD.TOOLTIP	Tiến	
GRID_TOOLBAR.PREFS.RENAME.TOOLTIP	Đổi tên	
GRID_TOOLBAR.PREFS.DELETE.TOOLTIP	Xóa	
GRID_TOOLBAR.PREFS.INFO.TOOLTIP	Thông tin	
GRID_TOOLBAR.PREFS.SAVE.TOOLTIP	Lưu	
GRID_TOOLBAR.PREFS.SAVE_AS.TOOLTIP	Lưu thành...	
		
GRID_TOOLBAR.RENDERER.DISPLAY_OPTIONS	Tùy chọn hiển thị	
		
GRID_TOOLBAR.MIRAGE.STORE_DISPLAYED_DATA	Lưu dữ liệu hiển thị	
		
// Perspective window		
		
GRID.PERSPECTIVE_WIN.TITLE	Góc nhìn	
GRID.PERSPECTIVE_WIN.TEMP_PERSPECTIVE_WARNING	Góc nhìn này là tạm thời; cấu hình bên dưới không phản ánh trạng thái hiện tại của bất kỳ mô-đun tùy chọn nào đã liên kết.	
		
// Column configuration		
		
GRID.COLCONFIG_WIN.TITLE	Cột	
GRID.COLCONFIG_WIN.TBL.FIELD	Trường	
GRID.COLCONFIG_WIN.TBL.DISPLAY	Hiển thị	
GRID.COLCONFIG_WIN.TBL.OPTIONS	Tùy chọn	
GRID.COLCONFIG_WIN.REORDER_COLS	Nhấn giữ và kéo để sắp xếp lại cột	
GRID.COLCONFIG_WIN.RENAME_COL	Đổi tên cột trong bảng.	
GRID.COLCONFIG_WIN.RENAME_COL.PROMPT	Đổi tên trường "%s" thành gì?	
GRID.COLCONFIG_WIN.PIN_COL	Ghim cột sang bên trái bảng?	
GRID.COLCONFIG_WIN.HIDE_COL	Ẩn cột?	
GRID.COLCONFIG_WIN.ALLOW_HTML	Cho phép hiển thị HTML?	
GRID.COLCONFIG_WIN.ALLOW_FORMATTING	Cho phép định dạng DataVis nhúng?	
