Translation Label	English Text
// Generic dialog options

DIALOG.OK	确定
DIALOG.CANCEL	取消

// Grid titlebar

GRAPH.TITLEBAR.SHOW_HIDE	显示/隐藏图表
GRAPH.TITLEBAR.SHOW_HIDE_CONTROLS	显示/隐藏图表控件

GRID.TITLEBAR.CANCEL	取消
GRID.TITLEBAR.LOADING	加载中...
GRID.TITLEBAR.WORKING	处理中...
GRID.TITLEBAR.LOADED	已加载
GRID.TITLEBAR.NOT_LOADED	未加载
GRID.TITLEBAR.RECORD_COUNT_SINGULAR	%d 条记录
GRID.TITLEBAR.RECORD_COUNT_PLURAL	%d 条记录
GRID.TITLEBAR.GROUP_COUNT_SINGULAR	%d 个分组
GRID.TITLEBAR.GROUP_COUNT_PLURAL	%d 个分组
GRID.TITLEBAR.SELECTED_COUNT_SINGULAR	已选择 %d 条记录
GRID.TITLEBAR.SELECTED_COUNT_PLURAL	已选择 %d 条记录
GRID.TITLEBAR.CLEAR_FILTER	清除筛选
GRID.TITLEBAR.DATA_LIMITED_WARNING	为节省时间，未检索所有记录，因此部分功能受限。点击以获取全部数据（可能需要一些时间）。

GRID.TITLEBAR.GENERATE_CSV	生成 CSV
GRID.TITLEBAR.DOWNLOAD_CSV	下载 CSV
GRID.TITLEBAR.REFRESH	刷新
GRID.TITLEBAR.SHOW_HIDE	显示/隐藏表格
GRID.TITLEBAR.SHOW_HIDE_CONTROLS	显示/隐藏表格控件
GRID.TITLEBAR.SHOW_DEBUG_INFO	显示表格调试信息

// Grid toolbar

GRID_TOOLBAR.PLAIN.SHOW_MORE_ON_SCROLL	滚动时显示更多
GRID_TOOLBAR.PLAIN.SHOW_ALL_ROWS	显示所有行
GRID_TOOLBAR.PLAIN.COLUMNS	列
GRID_TOOLBAR.PLAIN.TEMPLATES_EDITOR	模板编辑器

GRID_TOOLBAR.GROUP.MODE.SUMMARY	摘要
GRID_TOOLBAR.GROUP.MODE.DETAIL	明细
GRID_TOOLBAR.GROUP.TOTAL_ROW	总计行
GRID_TOOLBAR.GROUP.PIN_GROUPS	固定分组

GRID_TOOLBAR.PIVOT.TOTAL_ROW_COLUMN	总计行/列
GRID_TOOLBAR.PIVOT.HIDE_ZERO_VALUES	隐藏零值

GRID_TOOLBAR.PREFS.RESET.CONFIRM	确定要重置所有配置、删除所有视角并重新开始吗？
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE	新建视角...
GRID_TOOLBAR.PREFS.NEW_PERSPECTIVE.PROMPT	输入新视角名称
GRID_TOOLBAR.PREFS.DELETE_PERSPECTIVE.CONFIRM	确定要删除此视角吗？
GRID_TOOLBAR.PREFS.RENAME_PERSPECTIVE.PROMPT	将视角“%s”重命名为？

GRID_TOOLBAR.PREFS.BACKEND_DOES_NOT_SAVE	首选项系统未配置为永久保存视角。
GRID_TOOLBAR.PREFS.SAVE.HELP	点击以保存当前配置。下次访问此表格时，将自动使用之前保存的配置。
GRID_TOOLBAR.PREFS.SAVE_AS.HELP	此预定义视角不能用此名称保存。点击以新名称保存。之后，所有更改都将保存到新名称下。
GRID_TOOLBAR.PREFS.RESET.TOOLTIP	重置
GRID_TOOLBAR.PREFS.BACK.TOOLTIP	后退
GRID_TOOLBAR.PREFS.FORWARD.TOOLTIP	前进
GRID_TOOLBAR.PREFS.RENAME.TOOLTIP	重命名
GRID_TOOLBAR.PREFS.DELETE.TOOLTIP	删除
GRID_TOOLBAR.PREFS.INFO.TOOLTIP	信息
GRID_TOOLBAR.PREFS.SAVE.TOOLTIP	保存
GRID_TOOLBAR.PREFS.SAVE_AS.TOOLTIP	另存为...

GRID_TOOLBAR.RENDERER.DISPLAY_OPTIONS	显示选项

GRID_TOOLBAR.MIRAGE.STORE_DISPLAYED_DATA	存储已显示数据

// Perspective window

GRID.PERSPECTIVE_WIN.TITLE	视角
GRID.PERSPECTIVE_WIN.TEMP_PERSPECTIVE_WARNING	此视角为临时视角；下方配置不反映任何绑定首选项模块的当前状态。

// Column configuration

GRID.COLCONFIG_WIN.TITLE	列
GRID.COLCONFIG_WIN.TBL.FIELD	字段
GRID.COLCONFIG_WIN.TBL.DISPLAY	显示
GRID.COLCONFIG_WIN.TBL.OPTIONS	选项
GRID.COLCONFIG_WIN.REORDER_COLS	点击并拖动以重新排序列
GRID.COLCONFIG_WIN.RENAME_COL	重命名表格中的列。
GRID.COLCONFIG_WIN.RENAME_COL.PROMPT	将字段“%s”重命名为？
GRID.COLCONFIG_WIN.PIN_COL	将此列固定在表格左侧？
GRID.COLCONFIG_WIN.HIDE_COL	隐藏此列？
GRID.COLCONFIG_WIN.ALLOW_HTML	允许渲染 HTML？
GRID.COLCONFIG_WIN.ALLOW_FORMATTING	允许嵌入 DataVis 格式化？
GRID.COLCONFIG_WIN.MOVE_COL_TO_TOP	移至列列表顶部
GRID.COLCONFIG_WIN.MOVE_COL_TO_BOTTOM	移至列列表底部
GRID.COLCONFIG_WIN.PINNED_COL_WARNING	固定列在普通（非分组）输出中总是优先显示，顺序如上所示。
GRID.COLCONFIG_WIN.RESET_COL_ORDER	重置列顺序

// Grid controls

GRID_CONTROL.FIELD	字段
GRID_CONTROL.SELECT_FIELD	选择字段
GRID_CONTROL.SELECT_AGGREGATE	选择聚合
GRID_CONTROL.FILTER.TITLE	筛选器
GRID_CONTROL.GROUP.TITLE	分组字段
GRID_CONTROL.PIVOT.TITLE	透视字段
GRID_CONTROL.AGGREGATE.TITLE	聚合
GRID_CONTROL.FIELD.REMOVE	移除
GRID_CONTROL.FIELD.SHOW_FUNCTIONS	显示此字段可用函数
GRID_CONTROL.AGGREGATE.EDIT_OPTIONS	编辑选项
GRID_CONTROL.AGGREGATE.OPTIONS_DIALOG.TITLE	%s 的选项
GRID_CONTROL.OPERATIONS.TITLE	操作

// Aggregate function names

AGGREGATE.NAME.COUNT	计数
AGGREGATE.NAME.COUNT_DISTINCT	去重计数
AGGREGATE.NAME.VALUES	值
AGGREGATE.NAME.VALUES_WITH_COUNTS	值及计数
AGGREGATE.NAME.DISTINCT_VALUES	唯一值
AGGREGATE.NAME.SUM	求和
AGGREGATE.NAME.AVERAGE	平均值
AGGREGATE.NAME.MIN	最小值
